,Text,Type
10,"President Trump just spoke out on the fate of the UCLA basketball players who were accused of shoplifting sunglasses while in China: On Air Force One, Pres Trump told the press pool he intervened with Pres Xi about 3 UCLA basketball players being held in China on suspicion of shoplifting.  What they did was unfortunate. You know, you re talking about very long prison sentences. They do not play games. ""It's a very, very rough situation with what happened to them,"" Pres. Trump says on UCLA basketball players detained in China https://t.co/YlcP8wTJ9G pic.twitter.com/Lh9hXfILCC  CBS News (@CBSNews) November 14, 2017THEY RE FLYING HOME   LUCKY GUYS!UCLA team returns from China without arrested players https://t.co/Xv6VXSTS5j pic.twitter.com/t3ymusgy7V  FOX Business (@FoxBusiness) November 14, 2017CBS Local reported:Three UCLA basketball players accused of shoplifting in China may be on their way back to Los Angeles.Freshmen LiAngelo Ball, Jalen Hill and Cody Riley were seen checking into a Delta flight bound for Los Angeles at Shanghai s Pudong International Airport, according to the Wall Street Journal.The development comes just hours after President Donald Trump told reporters he had a long conversation on the matter with his Chinese counterpart Xi Jinping. They re working on it right now,  Trump told reporters in the Philippines as he prepared to return to Washington after a nearly two-week visit to Asia that included an earlier stop in Beijing.The UCLA freshmen were detained last week for questioning about allegations of shoplifting before a recent game against Georgia Tech in Shanghai. The UCLA team returned to the U.S. without them on Saturday.According to reports, there is surveillance footage of the players shoplifting from three stores inside a high-end retail center next to their hotel.These three are very lucky to be going home:",0
11,"RIYADH (Reuters) - Saudi Arabia s Shura Council, a top advisory council to the government, is studying proposals for protection of people who report financial crime, local media reported, following the government s anti-corruption crackdown. Crown Prince Mohammed bin Salman has launched an inquiry into graft that has resulted in the detention of a dozens of princes, senior officials and businessmen. The Shura Council does not have legislative powers, but it can propose laws to the king and the cabinet. It said in a tweet on Monday that it had agreed on the  appropriateness of the draft proposal  for whistleblower protection for financial and administrative corruption. The Arabic-language newspaper al-Riyadh reported on Tuesday that the council had agreed to study two proposals on the matter that also included protection of eyewitnesses who report violations such as financial crime. A top official said earlier this month that Saudi authorities have questioned 208 people in an anti-corruption investigation and estimate at least $100 billion has been stolen through graft.  The Government of Saudi Arabia, under the leadership of King Salman and Crown Prince Mohammed bin Salman, is working within a clear legal and institutional framework to maintain transparency and integrity in the market,  Attorney General Sheikh Saud Al Mojeb said in a statement on Nov. 9. The investigation has spread to the neighboring United Arab Emirates, as the UAE central bank asked commercial banks and finance companies there to provide details of the accounts of 19 Saudis detained in the crackdown. The UAE central bank governor said last week the request by the central bank for local banks and finance companies to provide details of the accounts of 19 Saudi Arabian citizens was just an information-gathering exercise. ",1
12,"This is one Daily Show segment that every Republican should be forced to watch over and over until they learn the true history of their own party.On Thursday night, Trevor Noah tackled the Republican claim that Democrats are the real racists because Lincoln freed the slaves and the KKK backed Democrats for decades after the Civil War.Earlier this week, former Obama adviser Van Jones had a heated argument with right-wing CNN contributor Jeffrey Lord, who defended Donald Trump by claiming that the KKK is a Democratic creation built to  further the progressive agenda. What the f*ck?  Noah responded.  I ve seen this argument on Facebook   in fact, I ve seen it everywhere online.  Did you know that Democrats are the real racist party? And did you know the Republican Party freed the slaves? Noah called Lord s claim  bullshit,  and proceeded to delve into history to demonstrate how the KKK switched their allegiance to the Republican Party. A lot of people like to skip over the fact that, when it comes to race relations, historically, Republicans and Democrats switched positions,  Noah said.  Yeah. Republicans were basically Democrats, and Democrats were basically Republicans. Noah explained that while it s true that the KKK supported Democrats for decades after Lincoln freed and slaves, the white supremacist group switched to a more welcoming Republican Party in the 1960s after Democrats began supporting and enacting policies like the Civil Rights Act and the Voting Rights Act. Presidents Harry S Truman and Lyndon Johnson, both southerners, angered what became known as the Dixiecrats, Southern Democrats who left the Democratic Party starting in 1948 in opposition to the expansion of civil rights.Johnson would predict while signing the Civil Rights Act of 1965 that Democrats just  lost the South for a generation. He was half-right,  Noah said,  because, in fact, the Democrats lost the South for more than a generation. Indeed, the once proud party of Lincoln quickly became a big tent for racists to flock to for shelter and it has not only remained that way ever since, the racists have now seized control of the party entirely.Noah even used  huge racist  former Senator Strom Thurmond as an example of how Southern Democrats turned Republican. Strom Thurmond was among the most racist politicians of his generation, and in the  60s, he switched to being a Republican because he felt more welcome,  Noah said of Thurmond, who started his political career as a Democrat in the 1930s. Just because something used to be something, doesn t mean it still is,  Noah said.  What matters more is what it is now. Like a butterfly used to be a caterpillar   you don t call it a flying caterpillar. Here s the video via Comedy Central:The Daily Show with Trevor Noah Get More: The Daily Show Full Episodes,The Daily Show on Facebook,The Daily Show Video ArchiveIn short, what matters is that the Republican Party is associated with the KKK and the KKK supports the Republican Party. That s been the case for a few decades now, but it s incredibly obvious today in 2016. And America is now dangerously close to having a President who pals around with the KKK and other white supremacists.Featured image: Houston Chronicle",0
13,"The security of our nation has never been more threatened than it is today, under the incompetent leadership of Barack Hussein Obama. The idea that we have one of the most highly trained group of warriors in our US Military paying for their own combat gear is unconscionable. Meanwhile, we are about the spend $50 MILLION or $42,000 per tortoise, to transplant  them from a desert in CA to a new environment, where they may or may not survive, is a perfect example of how upside down our nation s priorities are today Breitbart   Congressman Rep. Duncan Hunter (R-CA), a Marine with three combat deployments to Iraq and Afghanistan on his resume, says Navy SEALs have been telling him they are running short on combat rifles.The Associated Press reports Hunter describing a  weapons carousel  in which SEALs returning from deployment hand their weapons off to outgoing troops, a practice he described as undermining the  train like you fight  ideal, and disrupting the personal connection special operators develop with their finely-tuned weapons. Hunter stressed the importance of allowing special operators to train with the same weapons they bring into the field. As it currently stands, following a deployment, a SEAL will have his weapon taken from him, which has been fine-tuned to certain specifications, and given to a different operator to use. This means that SEALs standing by to deploy are waiting for different teams to come back stateside just so they can use their weapons,  said Hunter. They want their rifles. It s their lifeline. So let them keep their guns until they re assigned desk jobs at the Pentagon,  the Congressman urged.According to the Navy Times, some SEALs have been  forced to spend their own money on combat gear. Former active-duty special operator Lt. Cmdr. Sean Matson, visiting Capitol Hill at Hunter s invitation, said he  had to put up $900 of his own money to buy a high-quality ballistic helmet when the Navy dragged its heels on upgrading his kit. Hunter portrayed the SEAL rifle shortage as a consequence of  wasteful spending,  noting that abundant funds for purchasing rifles, which are far less expensive than most of the equipment the military buys, should be available, based on congressional spending authorizations for special ops forces.Hunter s chief of staff Joe Kasper told the Navy Times shortages of  optics, night vision, and laser attachments  have also been reported, even as the budget for Navy Special Warfare increased. So there are obviously some trade-offs being made, but they re occurring at the expense of operators and their firepower   and those are the absolute worst trade-offs to make,  said Kasper. Meanwhile Daily Caller   The Marine Corps is getting ready to conduct a massive operation to move hundreds of desert tortoises living on combat training grounds so they won t be crushed to death by military vehicles.The operation s total cost: $50 million to move 1,185 tortoises, or about $42,000 per tortoise. ",0
14,"Long before Cara Mund,  Miss North Dakota,  won the 2018 Miss America pageant, she faced a crowd of 50 other young women, all competing in various categories for the coveted crown. Two of those categories, to most of our readers, are patriarchal and silly: The evening wear and swimwear  competitions  pit all these beautiful young women against one another for assessment on their looks by a panel of judges.The other two categories, however, can be quite interesting, especially when something happens like what went down with Miss Texas in this year s competition.The talent portion of the show is, of course, just plain entertaining. Perhaps you ve seen the movie Miss Congeniality, starring Sandra Bullock, and if you have, you know what I m hoping to see in a talent show. The real thing is very little like that, however, and so is the interview portion of Miss America. Source: Meme Central, a folder on my computerTonight, Miss Texas was no Miss Rhode Island. There were two rounds of questions this time around, and when Margana Wood was called on for the second, more serious question, she got a doozy. Drawing a judge s name from a dish, she pulled Jess Cagle, the editor-in-chief of People Magazine. Cagle wasted zero time getting right to it: Last month, a demonstration of neo-Nazis, white supremacists, and the KKK in Charlottesville, Virginia turned violent and a counter-protester was killed. The president said there was shared blame with, quote,  very fine people on both sides.  Were there? Tell me yes or no, and explain. Well, then. That s a far cry from every participant simply answering  World Peace!  whenever their turn came around to say the one thing to the world they had in their heart. Ms. Wood was not, as they say, f*cking around. Barely containing her anger, Margana turned it up to 11: I think that the white supremacist issue, it was very obvious that it was a terrorist attack. And I think that president Donald Trump should have made a statement on it earlier, addressing the fact, and making sure all Americans feel safe in this country. That is the number one issue right now. Naturally, Republicans were butthurt. Here s a summation of all the cleverest things they came up with in response:#MissAmerica pageant should be renamed ""Miss Liberal America"" pageant  Kurt (@KMGIndy) September 11, 2017OOOH! We re gonna need to call the burn ward! Just kidding, go f*ck yourself, Kurt.Watch the amazing exchange here:Miss Texas was asked if Trump handled Charlottesville badly. She, uh   didn't play. ?? #MissAmerica pic.twitter.com/5JMT4tBpeL  shauna (@goldengateblond) September 11, 2017Featured image via Donald Kravitz/Getty Images",0
15, ,0
16,"Fox host Sean Hannity lost his cool during a radio interview with Ted Cruz yesterday, as the GOP candidate tried to dodge answering questions that might actually be helpful to voters.Hannity, who is a Trump supporter, brought up the way Cruz s campaign handled delegates, stating that it baffled many (and possibly being annoyed that Cruz was more prepared to win over delegates than Trump). Cruz completely avoided answering the question, and actually told Hannity he didn t think people cared about that. Hannity pushed back, insisting that millions of his followers wanted to know because they  find this whole process confusing. Once again, the GOP s least likable Republican dismissed Hannity s question, claiming that the only people who cared were on Trump s team. Cruz must have gotten Hannity s blood boiling, because then the Fox host blew up. He said: Senator, why do you do this? Every single time no, you gotta stop! Every time I have you on the air, and I ask a legitimate question, you try to throw this in my face. I m getting sick of it. I ve had you on more than any other candidate on radio and TV. So if I ask you a legitimate question to explain to the audience, why don t you just answer it? Cruz s response was equally testy as he shot back, Sean, can I answer your last question without being interrupted?  Then he made a half-ass attempt to respond to Hannity s question, but insisted that  as I travel the country, nobody is asking me this, other than the Trumpsters and the people repeating it. Hannity wasn t satisfied and continued to press the Texas Senator, stating that  it s a simple question, it s not a Trump question. You could tell that both men had gotten under each other s skin, because at one point in the interview, Hannity said to Cruz: Senator, I don t know why you re mad. And Cruz insisted that he wasn t mad, he was just annoyed that they were talking  only about the nonsense  instead of policy.Here s the intense interview, via The Sean Hannity Show:The interview clearly left Hannity with a bad taste in his mouth, because when the interview was over he took to Twitter to blast the candidate:TwitterTwitterTwitterHannity is known for giving pretty mild interviews to Republicans, but he was obviously no match for Cruz s ability to annoy anyone he comes in contact with.Featured image via Gerardo Mora / Getty Images",0
17,"How very progressive  After all, what would Super Bowl Sunday be without a little cop and White-shaming (Obama-Sharpton style), during the halftime show? WATCH:A day ahead of her anticipated return to the Super Bowl halftime show stage, Beyonce has released new single  Formation  along with an accompanying music video.Set in New Orleans, the clip features shots of Bey lying on top of a sinking New Orleans police cruiser as well as a graffiti d wall that says,  Stop shooting us.  There s also a scene of a black child in a hoodie dancing in front of a line of police officers in riot gear. At one point a man holds up a newspaper called  The Truth  with an image of Martin Luther King Jr. on the front page captioned,  More than a dreamer.  Blue Ivy Carter, Beyonce s daughter, also appears in the video.Beyonce will join Coldplay and Bruno Mars in the Super Bowl 50 halftime show on Sunday afternoon on CBS, during which  Formation  will make its live debut, according to Entertainment Tonight.Via: Variety",0
18,Osama Bin Laden s bodyguard and 14 other terrorists were released to the UAE today more insanity from Obama!,0
19,"The White House is finally wising up and realizing that America s current president is a toddler, and Donald Trump literally cannot be left alone for a moment because he might further incriminate himself or cause another PR disaster.Many people have remarked that while Trump s first overseas trip has been filled with several embarrassing moments and blunders, his activity on Twitter has been uncharacteristically calm. There s a reason for that, and it might become a more permanent thing in the future.According to the Wall Street Journal, Trump s Twitter account may be going under a sort of lockdown that could be implemented long term. This includes a team of lawyers whose sole task is to vet Trump s Twitter activity to make sure he doesn t make himself or his administration look bad. Seriously, how sad is it that a POTUS has so little self control that he needs a team of lawyers to monitor his social media activity?! This is what the WSJ reported:One major change under consideration would vet the president s social media posts through a team of lawyers, who would decide if any needed to be adjusted or curtailed. The idea, said one of Mr. Trump s advisers, is to create a system so that tweets  don t go from the president s mind out to the universe. In its report, the WSJ gave some cringeworthy examples of how Trump s tweets have gone astray, such as the time he accused former president Barack Obama of  wiretapping  him, and the time he implied that his conversations with former FBI Director James Comey were taped.Former campaign aide Barry Bennett doubts that this plan will work, as he said  I would be shocked if he would agree to that  when told about Trump s proposed Twitter surveillance. However, that s not all the lawyers will be sought out for. It s being reported that Trump will also meet with attorneys to  help deal with the legal ramifications of the Russia investigation.  Lord knows Trump needs all the help he can get.Featured image via Pool / Getty Images",0
20,"Jayme Liardi makes no secret of the fact that he s isolationistic and xenophobic, and also seems to support, or at least sympathize with, Nazi ideology. That s not hyperbole   he actually does at least appear to be sympathetic to the Nazis, if not an outright supporter.Now he s created a group for young Trump fans and other young xenophobic conspiracy theorists with a name that bears a striking resemblance to the Hitler Youth. It s called the Trump Youth. While they don t mention Trump s name anywhere other than in their own name, the purpose is clear: Donald Trump represents an end to globalism, an end to multiculturalism, and an end to what Liardi clearly sees as the myth of equality.In a video he s made for the Trump Youth, he speaks of the parasites that we must throw off our backs: These parasites, they want war, they want destruction, they want slavery, and they re getting it. And unless we hold them accountable, unless we take justice into our own hands, and throw these parasites off our backs, the world will come to chaos.  [emphasis mine]He goes on to preach fear about the  New World Order,  which is made up of the globalists that are trying to destroy the world. Watch his entire fear-laced spiel below: The Trump Youth are the  hero generation. What does that whole thing sound like? It s not just that Liardi sees globalists as parasites. Nazis considered the Jews to be parasites that fed on society, and were the root of their problems from the end of WWI, into WWII: In this war for the very existence of the German people, we must daily remind ourselves that Jewry unleashed this war against us  As early as 1922 the F hrer said:  We were also those who for the first time made major efforts to explain to the people a danger that had crept up on us, and which millions of people did not recognize, even though it threatened to ruin us all: the danger of the Jews The German people has recognized that the Jew has crept in like a parasite not only into our people, but into all the peoples of the earth, and that it is attempting to corrupt the original racial characteristics of the peoples in order to destroy them both racially and as states, and thereby rule over them.  [emphasis mine]On his own website, Liardi says of WWII: WWII was a turning point in human history. A battle of opposite ideologies. Nationalism vs Globalism, International Communism vs  Nazism Our world today is the world of the victors, the world of the so-called Allies.On one path you have globalism. This is the world of capitalism/communism  The world of blind  equality : All races, cultures and ethnicities are the same, the sexes are the same, each individual is essentially the same. In our sameness, in our equality we are all one homogenous goop, rootless and without an identity, able to be exploited by the tyrants, our alleged representatives that we have in power today. If you have no identity, one will be installed into you by the kosher forces of The State.  [emphasis mine]So there you have it. A blond-haired, fair-skinned young man trying to create a group to fight for the same nationalism for which the Nazis fought. That he calls the group the Trump Youth indicates he may be a white supremacist himself, since it s evocative of the Hitler Youth and since Trump has received endorsements and support from known white supremacists (but don t call them that. They don t like it).Liardi is definitely a racist, a nationalist, and a conspiracy theorist, and he wants to gather other xenophobic racists to bring Trump s ideology to fruition, possibly even if Trump doesn t get electedFeatured image via screen capture from embedded video",0
21," Ever since the passing of Supreme Court Justice Antonin Scalia, Republicans have insisted on turning the constitutionally-backed nomination process into a political sideshow to deprive Obama of his legal right to name a new Justice and to deprive Americans of their say in the matter.Senate Republicans, led by their Obstructor-in-Chief Mitch McConnell, have repeatedly made the astounding claim that they will refuse to hold nomination hearings for any person Obama may choose. Sight unseen. Instead, they will spend the next 340 days with an empty seat on the Supreme Court   a glowing middle finger neon sign built in the way of the democratic process.For their part, the American people have made it absolutely clear that this sort of political point scoring is inappropriate, offensive, and unwanted. When Fox News (Fox News!) ran a poll asking if Americans supported Obama naming a new justice, an overwhelming majority said yes.Supreme Court Justice Antonin Scalia s recent death has sparked a debate over how to fill the vacancy on the nation s highest court. Taking into consideration that it s an election year, which of the following is closer to your view?It s still the responsibility of current leaders, President Obama and the Senate, to take action to fill the vacancy now: 62The president shouldn t get to nominate someone for a lifetime appointment to the high court this late in his term: 34Note that the number transcends partisan lines. Obama s approval rating sits at around 50 percent. In other words, there are many people that may disagree with the president on issues, but recognize the fact that he is within his rights to name a new Supreme Court Justice.Republicans just don t care.Days after the polls began trickling in saying Americans wanted Obama to be able to fulfill his obligations, McConnell and other Republican leaders held a secret, closed door meeting in his office to decide what to do. Their conclusion was to circle the wagons, dig in and stick their heads in the sand. The Party of No is alive and well.Key Republican senators on the Judiciary Committee emerged from a closed door meeting in Majority Leader Mitch McConnell s office Tuesday united in their determination not to consider any nominee to replace Anton Scalia until the next president takes office. We believe the American people need to decide who is going to make this appointment rather than a lame duck president,  said Majority Whip John Cornryn.This is an egregious  screw you  to not only Democrats and the president, but also to the American people more broadly. It s disgusting that Sen. John Cornryn would invoke the  American people  in his disgusting defense of the GOP s actions, because the American people already had a voice when it came to the process   they voted for President Obama. Twice.If there is any good news in a story that is essentially about one political party destroying the fabric of the democracy to get their way, it s this: Republicans may fold their arms and throw a tantrum, but they are showing everyone   Democratic and Republican voters alike   that they only care about their own self-interest. The voice of the people? They couldn t care less. I wonder how that s going to play on election day.Featured image via Flickr",0
22,"For some unknown reason, Sean Hannity decided he had to prove to the world just how traumatized he is by the rising tensions between the United States and North Korea.Donald Trump declared on Tuesday that  North Korea best not make any more threats  or else  they will be met with fire and fury like the world has never seen.  So naturally (not), Hannity tweeted out that he was ceasing all  petty political disagreements for at least [the] next 12 hours  in light of the current conflict and challenged others to do the same.In light of dangerous NKorea threat, I'm stopping all petty political disagreements for at least next 12 hours. Let's see what others do.  Sean Hannity (@seanhannity) August 8, 2017That tweet went out at just after three o clock this afternoon. How long do you think Hannity made it before breaking his solemn Twitter vow? (Hint, he already did.) Eight hours. Hannity barely made it eight hours before losing his sh*t and viciously attacking Senate Majority Leader Mitch McConnell.@SenateMajLdr No Senator, YOU are a WEAK, SPINELESS leader who does not keep his word and you need to Retire! https://t.co/X85QQV3WOG  Sean Hannity (@seanhannity) August 9, 2017What did you expect? Did you really think Hannity could hold it together for 12 whole hours? Nah, neither did I. Other Twitter users were quick to mock Hannity s inability to stick to his own pledge.Looks like someone doesn't know how long 12 hours is pic.twitter.com/8jKultKIEX  David C. (@davidalancrow) August 9, 2017Well THAT was the shortest 12 hours in history.  JoeMyGod (@JoeMyGod) August 9, 2017Do we need to get you a Mickey Mouse watch Sean. You know, so you can time out 12 hrs on his hands?  Neville (@1FightingIrish) August 9, 2017Those hours went by quick ? pic.twitter.com/YxKUIShc9D  Felichia Eaton (@FelichiaEaton) August 9, 2017And scene wrapped early so everyone can call it a night. #FireHannity  Tate (@TateTaters1971) August 9, 2017Lyin' @seanhannity couldn't even make it 8 hours  Sad! pic.twitter.com/0Bf5eDCbGg  Liberal Cynic (@Liberal_Cynic) August 9, 2017Finally, regarding Hannity s actual message regarding McConnell, I have to agree with this guy. Hell just froze over because I actually agree with Sean f*cking Hannity, it is long past time for McConnell to go.Wow! Hell Just Froze, I Agree With Hannity!?!Turtle Needs To Go!His Career Is A Big Fat Zero! pic.twitter.com/4HAbTgq9gY  TrumpIsMeltingDown (@dumptrumptrain) August 9, 2017Featured image via Paul Zimmerman/Stringer/Getty Images",0
23,"21st Century Wire says You know that western society is approaching its final hour when animal rights activists start advocating individual animals to be able to sue humans in courts. That s exactly what has happened in the US.We can trace some of this line of thinking back to Cass Sunstein, the radical, liberal progressive technocrat and chief advisor to President Barack Obama (as well as the husband of disastrous UN Ambassador Samantha Power). According to his own writing and public declarations, Sunstein believes that activists should be able to bring a lawsuit on behalf of an animal in US courts. In his 2004 book Animal Rights: Current Debates and New Directions, Sunstein remarked:Cass Sunstein. My simplest suggestion is that private citizens should be given the right to bring suits to prevent animals from being treated in a way that violates current law. I offer a recommendation that is theoretically modest but that should do a lot of practical good: laws designed to protect animals against cruelty and abuse should be amended and interpreted to give a private cause of action against those who violate them, so as to allow private people to supplement the efforts of public prosecutors. Somewhat more broadly, I will suggest that animals should be permitted to bring suit, with human beings as their representatives, to prevent violations of current law. As one of liberal America s most influential technocrats, Sunstein argues that this legal right can be invoked on the basis of animal cruelty. While no cruelty seems to be present in the case of the Monkey Selfie (see story below), activists at PETA were no doubt emboldened by Sunstein and others who have propelled their ideological argument into the political activist discourse.While our society and our legal system are far from perfect, a move like this from a wealthy charity like PETA could throw that system into even further chaos.Surely, if animals can sue humans, then shouldn t humans be able to sue animals? As you can see, when you pursue this activist rabbit hole, reality starts to dissolve rather quickly.More on this incredible story from AP Monkey Selfie    Copyright credited to David J. Slater (UK)Linda Wang APcurious monkey with a toothy grin and a knack for pressing a camera button was back in the spotlight Wednesday as a federal appeals court heard arguments on whether an animal can hold a copyright to selfie photos.A 45-minute hearing before a three-judge panel of the 9th U.S. Circuit Court of Appeals in San Francisco attracted crowds of law students and curious citizens who often burst into laughter. The federal judges also chuckled at times at the novelty of the case, which involves a monkey in another country that is unaware of the fuss.Andrew Dhuey, attorney for British nature photographer David Slater, said  monkey see, monkey sue  is not good law under any federal act.Naruto is a free-living crested macaque who snapped perfectly framed selfies in 2011 that would make even the Kardashians proud.People for the Ethical Treatment of Animals [PETA] sued Slater and the San Francisco-based self-publishing company Blurb, which published a book called  Wildlife Personalities  that includes the monkey selfies, for copyright infringement. It sought a court order in 2015 allowing it to administer all proceeds from the photos taken in a wildlife reserve in Sulawesi, Indonesia to benefit the monkey.Slater says the British copyright for the photos obtained by his company, Wildlife Personalities Ltd., should be honored Continue this story at AP/Chicago TribunePictured here is a typical Indonesian Crested Black Macaque monkey (Image Credit: Lip Key Yap, Wikicommons)READ MORE FINANCIAL NEWS AT: 21st Century Wire Financial FilesSUPPORT OUR WORK BY SUBSCRIBING & BECOMING A MEMBER @21WIRE.TV",0
24,"ROME (Reuters) - Former Prime Minister Silvio Berlusconi returned to frontline Italian politics at the weekend, staking his claim to lead a resurgent center-right into national elections that are expected early next year. At exactly the same moment, Berlusconi s outspoken ally, Matteo Salvini, was addressing his Northern League party and laying down his own marker to become the next prime minister.  Salvini Premier  read a sign stuck to the lectern. In reality, neither man looks likely to head the next government if they pull off an election victory, and possible alternative candidates are already emerging.  There is an apparent power struggle going on between Berlusconi and Salvini, but it will not get out of hand. They know a violent clash would be suicidal with voters,  said Piero Ignazi, politics professor at Bologna University.  The truth is both men will remain head of their respective parties, but they won t be the next prime minister,  he said. This would open the way for a consensus candidate who would have to bridge the huge divergences between the three main rightist parties   from the fierce anti-EU agenda put forward by both the Northern League and Brothers of Italy to the pro-European vision embraced by Berlusconi on Sunday. Latest opinion polls show this trio of long-standing allies are pulling ahead in the polls and predicted to win a combined 35 percent of the vote, with the anti-migrant Northern League just ahead of Berlusconi  Forza Italia on some 15 percent. By contrast, the anti-establishment 5-Star Movement and ruling center-left Democratic Party (PD) are seen on around 28 percent apiece. The 5-Star has ruled out any coalition alliances and the center-left pool of votes is shrinking as various leftist parties engage in ferocious infighting. Under the current electoral system no party or bloc looks like winning enough seats to govern alone. However, political analysts say the wind is filling the center-right s sails after years of adverse conditions, giving it pre-election momentum. Berlusconi ignominiously resigned from power in 2011 during a sovereign debt crisis. Mired in sex scandals and legal woes, he was subsequently expelled from the Senate and banned from running for office due to a 2013 tax fraud conviction. Open heart surgery last year left most analysts writing his political obituary. But not for the first time, the media tycoon, now 81, bounced back and has appealed to the European Court of Human Rights to overturn the ban on seeking election. A hearing is scheduled for November, but a verdict is unlikely to come for several months, meaning he almost certainly will not be able to stand in the next national ballot, which is due by May 2018 and widely expected to be held in March.  Despite his age, Berlusconi would love to be prime minister again. It would be his last hurrah. But realistically speaking, it is not about to happen,  said a Forza Italia official, who declined to be named because of the sensitivity of the issue. Significantly, Berlusconi made his political comeback speech at an event organized by Forza Italia stalwart Antonio Tajani, the president of the European Parliament. Party sources said Tajani was in pole position to be Berlusconi s surrogate. While Berlusconi s name abroad evokes memories of  bunga bunga  sex parties and wisecracks, Tajani is a much less colorful character, whose pro-European instincts would make him a reassuring figure for international markets. Those very same instincts would pose a problem for Berlusconi s hardline allies, who have regularly denounced the European Union and have called for Italy to quit the euro.  The leader of the center-right needs to be chosen through a clear process, perhaps a primary,  Giorgia Meloni, the head of Brothers of Italy, told Sky Italia television on Sunday.  I imagine that whatever grassroots method you decide, Tajani will not win out,  she said. Brothers of Italy is a small, nationalist party, which is anti-migrant and anti-euro. It tries to differentiate itself from the League by saying it focuses on the whole country, not just the wealthy north.      Buoyed by the League s strong poll numbers, Salvini says the leader of the party which wins the most votes next year should automatically be the prime ministerial candidate.  But Berlusconi, a four-times premier, has ruled out handing over the baton of power to Salvini, who has embraced Europe s far-right and endorsed France s National Front.  We created the center-right in Italy and we have always been its leader, laying out and fulfilling its program,  Berlusconi said on Sunday. The two men have not spoken for months, saying they are in no hurry to discuss strategy. Political analysts have speculated that the pro-business Forza Italia might find it easier to create a government of national unity with former prime minister Matteo Renzi s PD party rather than the populist Northern League. Forza Italia loyalists reject this notion.  We ruled with the Northern League for years in national government and we are ruling with them now in the regions and it is going well,  said Forza Italia lawmaker Deborah Bergamini. One such regional coalition is in Liguria, headed by Forza Italia s Giovanni Toti. He attended both the Forza Italia and Northern League rallies at the weekend and is due to take part in a Brothers of Italy meeting this weekend.  Toti has been carefully building bridges between the three parties and would be a natural choice to head any national coalition,  Bologna University s Ignazi said. ",1
25,"There is most definitely no love lost between GOP presidential nominee Donald Trump and House Speaker Paul Ryan. This is especially true since Trump was caught on tape with then- Access Hollywood host Billy Bush having an extremely lewd conversation about women and bragging about sexual assault. Ryan uninvited Trump from their joint campaign event the next day. Trump has since been publicly attacking Ryan on Twitter, and he continued that trend Sunday.Here are the tweets Trump sent out, while the spineless speaker did nothing to control his own nominee:The Democrats have a corrupt political machine pushing crooked Hillary Clinton. We have Paul Ryan, always fighting the Republican nominee!  Donald J. Trump (@realDonaldTrump) October 16, 2016Paul Ryan, a man who doesn't know how to win (including failed run four years ago), must start focusing on the budget, military, vets etc.  Donald J. Trump (@realDonaldTrump) October 16, 2016Even while attacking Democratic nominee Hillary Clinton, Trump couldn t leave Ryan out of it:Wow, interview released by Wikileakes shows ""quid pro quo"" in Crooked Hillary e-mail probe.Such a dishonest person   & Paul Ryan does zilch!  Donald J. Trump (@realDonaldTrump) October 16, 2016If Trump s previous public feuds and personal grievances are any indication, his obsession with Paul Ryan will not be ending anytime soon. In fact, it will likely go right up to election day, and Trump will blame his loss on Ryan, along with the media, the Democrats, Hillary Clinton, the women making accusations against him, and everyone but himself. Buckle your seat belt for this one Speaker Ryan. You re definitely in for a rough ride.Featured image via Sarah Rice/Getty Images",0
26,"(Reuters) - The U.S. Geological Survey said on Saturday it could not conclusively confirm whether a magnitude 3.5 earthquake detected in North Korea was manmade or natural. USGS put the epicenter of the quake 22 km (14 miles) east-northeast of Sungjibaegam, North Korea, near the country s main nuclear test site. Chinese earthquake officials earlier said the tremor was a  suspected explosion , while South Korean officials and CTBTO, the nuclear proliferation watchdog, both said they believed it was a natural quake.  The depth is poorly constrained and has been held to 5 km by the seismologist,  USGS said.  The Air Force Technical Applications Center (AFTAC) is the sole organization in the U.S. federal government whose mission is to detect and report technical data from foreign nuclear explosions.  ",1
27,"BENGHAZI, Libya (Reuters) - France told eastern Libyan military commander Khalifa Haftar he needed to respect the U.N. peace process to stabilize the oil producer, Foreign Minister Jean-Yves Le Drian said on Thursday.  I said there is no alternative (to the U.N. plan) for you,  Le Drian told reporters after meeting Haftar in Benghazi.  You need to put yourself at the service of your country.  ",1
